Date	A:0.0-T:10.0	A:180.0-T:10.0	A:0.0-T:25.0	A:180.0-T:25.0
M:12-H:00	0.0000	0.0000	0.0000	0.0000
M:12-H:01	0.0000	0.0000	0.0000	0.0000
M:12-H:02	0.0000	0.0000	0.0000	0.0000
M:12-H:03	0.0000	0.0000	0.0000	0.0000
M:12-H:04	0.0000	0.0000	0.0000	0.0000
M:12-H:05	14.3589	33.9700	12.8946	51.0460
M:12-H:06	101.1283	136.6957	69.8721	154.6767
M:12-H:07	238.3227	259.3825	207.2576	259.2736
M:12-H:08	361.2694	360.6797	340.5097	339.0723
M:12-H:09	475.5410	456.5083	462.8871	415.4862
M:12-H:10	549.2400	517.5364	542.5353	463.4938
M:12-H:11	591.5965	552.8293	587.9652	490.6261
M:12-H:12	600.5645	560.9508	597.5220	497.2082
M:12-H:13	559.6602	525.4208	554.8682	469.5727
M:12-H:14	518.0048	492.6864	508.6044	445.5742
M:12-H:15	422.6285	412.6075	406.5002	381.5734
M:12-H:16	312.4072	321.2832	287.4765	309.4462
M:12-H:17	174.8760	204.2906	141.6508	213.5857
M:12-H:18	52.8464	88.1432	31.8313	110.4786
M:12-H:19	1.3328	4.6817	1.3863	8.4441
M:12-H:20	0.0000	0.0000	0.0000	0.0000
M:12-H:21	0.0000	0.0000	0.0000	0.0000
M:12-H:22	0.0000	0.0000	0.0000	0.0000
M:12-H:23	0.0000	0.0000	0.0000	0.0000
