-21.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-22.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-23.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-6.00	32.98	42.42	52.68	62.53	70.97	77.26	80.90	81.65	79.45	74.46	67.05	57.84	47.71	37.79	29.35	23.56	20.77	19.73	19.57	19.46	19.61	19.92	21.28	25.61	26.29	43.69	64.54	84.50	101.20	113.39	120.37	121.78	117.57	107.95	93.42	74.94	54.29	34.78	22.46	19.72	19.72	19.72	19.72	19.72	19.72	19.72	19.72	19.72	21.16	43.77	74.69	103.85	127.71	144.89	154.66	156.63	150.75	137.23	116.61	89.91	59.38	31.30	19.93	19.77	19.77	19.77	19.77	19.77	19.77	19.77	19.77	19.77
-7.00	164.83	183.96	201.80	217.12	228.97	236.64	239.72	238.01	231.63	220.93	206.53	189.32	170.45	151.26	133.22	117.73	105.86	98.27	95.25	96.85	103.07	113.74	128.31	145.79	156.34	194.00	228.64	257.92	280.28	294.65	300.37	297.20	285.28	265.14	237.72	204.45	167.44	129.80	95.83	70.35	56.38	51.29	50.03	50.38	52.99	63.91	86.66	119.04	143.51	198.59	248.68	290.44	322.01	342.17	350.18	345.75	329.03	300.65	261.69	213.78	159.79	105.70	64.39	50.39	50.03	50.03	50.03	50.03	50.03	50.03	54.64	90.58
-8.00	290.77	307.56	322.39	334.35	342.74	347.07	347.11	342.86	334.55	322.66	307.88	291.12	273.46	256.08	240.25	227.13	217.76	212.85	212.79	217.59	226.87	239.92	255.72	273.08	289.80	322.66	351.23	374.01	389.84	397.99	398.06	390.06	374.37	351.73	323.27	290.51	255.41	220.36	188.18	161.68	143.08	133.51	133.33	142.59	161.01	187.41	219.56	254.63	281.41	329.48	370.71	403.23	425.69	437.20	437.29	425.99	403.72	371.40	330.37	282.49	230.40	178.12	131.59	97.51	79.36	73.05	72.49	77.67	95.74	129.96	176.73	229.17
-9.00	456.08	471.14	483.64	492.80	498.08	499.18	496.02	488.80	477.93	464.09	448.12	431.05	414.02	398.22	384.78	374.74	368.87	367.64	371.15	379.12	390.91	405.64	422.19	439.40	462.28	491.63	515.73	533.28	543.34	545.42	539.40	525.61	504.74	477.93	446.64	412.75	378.42	346.08	318.23	297.21	284.85	282.23	289.60	306.32	330.92	361.27	394.92	429.36	457.39	500.23	535.07	560.27	574.66	577.62	569.03	549.26	519.21	480.29	434.40	384.00	332.18	282.75	240.06	208.14	189.67	185.72	196.52	221.66	259.29	305.89	357.09	408.75
-10.00	564.46	575.05	582.83	587.30	588.21	585.49	579.32	570.07	558.31	544.80	530.42	516.13	502.93	491.75	483.43	478.58	477.59	480.52	487.16	497.00	509.30	523.18	537.64	551.71	576.69	597.30	612.34	620.97	622.71	617.48	605.56	587.61	564.66	538.06	509.44	480.69	453.81	430.81	413.52	403.39	401.30	407.43	421.25	441.59	466.78	494.87	523.83	551.69	575.41	605.46	627.27	639.74	642.25	634.69	617.44	591.37	557.80	518.56	475.89	432.48	391.37	355.80	328.84	312.96	309.65	319.22	340.81	372.40	411.16	453.86	497.34	538.68
-11.00	661.26	666.24	668.40	667.59	663.88	657.48	648.82	638.45	627.04	615.36	604.21	594.37	586.53	581.28	578.99	579.83	583.76	590.46	599.46	610.11	621.65	633.28	644.23	653.76	677.08	686.41	690.30	688.75	681.88	669.71	652.75	632.32	609.70	586.36	563.89	543.88	527.84	517.02	512.29	514.03	522.10	535.86	554.21	575.75	598.92	622.08	643.72	662.43	677.62	691.17	696.70	694.45	684.58	666.87	642.00	611.87	578.25	543.27	509.27	478.72	454.03	437.25	429.88	432.57	445.08	466.31	494.44	527.17	562.05	596.62	628.65	656.18
-12.00	665.68	664.73	661.32	655.68	648.17	639.28	629.60	619.77	610.47	602.34	595.97	591.81	590.16	591.16	594.72	600.59	608.34	617.42	627.19	636.98	646.13	654.03	660.16	664.13	681.16	679.44	673.08	662.06	647.31	629.76	610.52	590.87	572.13	555.66	542.65	534.12	530.73	532.76	540.04	552.02	567.76	586.08	605.67	625.17	643.27	658.82	670.83	678.34	681.98	679.42	669.81	653.64	631.95	606.00	577.37	547.90	519.58	494.47	474.51	461.33	456.07	459.17	470.40	488.78	512.80	540.56	570.02	599.12	625.95	648.86	666.49	677.80
-13.00	652.66	645.60	636.43	625.73	614.21	602.64	591.82	582.50	575.36	570.91	569.49	571.20	575.91	583.28	592.77	603.71	615.32	626.81	637.40	646.40	653.22	657.43	658.77	657.14	669.32	655.54	637.53	616.42	593.52	570.35	548.49	529.54	514.90	505.73	502.78	506.28	515.96	531.04	550.35	572.43	595.70	618.54	639.45	657.11	670.44	678.47	681.02	678.05	670.54	650.38	623.92	592.70	558.59	523.78	490.65	461.64	439.06	424.82	420.19	425.60	440.56	463.79	493.31	526.80	561.76	595.80	626.74	652.70	672.19	683.88	687.58	683.26
